issue_id,point_id,mach,aoa,value,threshold,status,notes
G08,press_m1.03_a0,1.03,0.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.03_a2,1.03,2.0,1.099255,<2.0,pass,CD at M=1.03 AoA=2
G04,cn_m1.03_a2,1.03,2.0,9.051609,<50.0,pass,CN at M=1.03 AoA=2
G08,press_m1.03_a2,1.03,2.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.03_a5,1.03,5.0,1.157523,<2.0,pass,CD at M=1.03 AoA=5
G04,cn_m1.03_a5,1.03,5.0,9.110820,<50.0,pass,CN at M=1.03 AoA=5
G08,press_m1.03_a5,1.03,5.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.03_a10,1.03,10.0,1.367178,<2.0,pass,CD at M=1.03 AoA=10
G04,cn_m1.03_a10,1.03,10.0,9.204046,<50.0,pass,CN at M=1.03 AoA=10
G08,press_m1.03_a10,1.03,10.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.05_a0,1.05,0.0,1.113010,<2.0,pass,CD at M=1.05 AoA=0
G04,cn_m1.05_a0,1.05,0.0,8.117531,<50.0,pass,CN at M=1.05 AoA=0
G08,press_m1.05_a0,1.05,0.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.05_a2,1.05,2.0,1.122943,<2.0,pass,CD at M=1.05 AoA=2
G04,cn_m1.05_a2,1.05,2.0,8.153777,<50.0,pass,CN at M=1.05 AoA=2
G08,press_m1.05_a2,1.05,2.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.05_a5,1.05,5.0,1.175426,<2.0,pass,CD at M=1.05 AoA=5
G04,cn_m1.05_a5,1.05,5.0,8.206428,<50.0,pass,CN at M=1.05 AoA=5
G08,press_m1.05_a5,1.05,5.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.05_a10,1.05,10.0,1.364223,<2.0,pass,CD at M=1.05 AoA=10
G04,cn_m1.05_a10,1.05,10.0,8.288872,<50.0,pass,CN at M=1.05 AoA=10
G08,press_m1.05_a10,1.05,10.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.10_a0,1.10,0.0,1.148272,<2.0,pass,CD at M=1.10 AoA=0
G04,cn_m1.10_a0,1.10,0.0,6.008780,<50.0,pass,CN at M=1.10 AoA=0
G07,sbli_m1.10_a0,1.10,0.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a0,1.10,0.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.10_a2,1.10,2.0,1.155740,<2.0,pass,CD at M=1.10 AoA=2
G04,cn_m1.10_a2,1.10,2.0,6.129732,<50.0,pass,CN at M=1.10 AoA=2
G07,sbli_m1.10_a2,1.10,2.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a2,1.10,2.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.10_a5,1.10,5.0,1.196629,<2.0,pass,CD at M=1.10 AoA=5
