geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
ogive_cylinder,2.10,0.362219,0.362219,0.108012,0.151330,0.102877,0.050000,0.00196350
ogive_cylinder,2.20,0.341325,0.341325,0.097174,0.145070,0.099081,0.050000,0.00196350
ogive_cylinder,2.30,0.320219,0.320219,0.085403,0.139051,0.095765,0.050000,0.00196350
ogive_cylinder,2.40,0.302659,0.302659,0.076532,0.133275,0.092852,0.050000,0.00196350
ogive_cylinder,2.50,0.291827,0.291827,0.073805,0.127744,0.090278,0.050000,0.00196350
ogive_cylinder,2.60,0.285455,0.285455,0.075009,0.122454,0.087991,0.050000,0.00196350
ogive_cylinder,2.70,0.279477,0.279477,0.075970,0.117556,0.085951,0.050000,0.00196350
ogive_cylinder,2.80,0.273762,0.273762,0.076733,0.112907,0.084121,0.050000,0.00196350
ogive_cylinder,2.90,0.268266,0.268266,0.077334,0.108457,0.082474,0.050000,0.00196350
ogive_cylinder,3.00,0.262990,0.262990,0.077801,0.104203,0.080986,0.050000,0.00196350
ogive_cylinder,3.10,0.257931,0.257931,0.078156,0.100139,0.079636,0.050000,0.00196350
ogive_cylinder,3.20,0.253085,0.253085,0.078418,0.096259,0.078408,0.050000,0.00196350
ogive_cylinder,3.30,0.248446,0.248446,0.078602,0.092558,0.077287,0.050000,0.00196350
ogive_cylinder,3.40,0.244006,0.244006,0.078719,0.089027,0.076260,0.050000,0.00196350
ogive_cylinder,3.50,0.239760,0.239760,0.078782,0.085660,0.075317,0.050000,0.00196350
ogive_cylinder,3.60,0.235698,0.235698,0.078797,0.082451,0.074449,0.050000,0.00196350
ogive_cylinder,3.70,0.231813,0.231813,0.078773,0.079392,0.073648,0.050000,0.00196350
ogive_cylinder,3.80,0.228099,0.228099,0.078715,0.076476,0.072907,0.050000,0.00196350
ogive_cylinder,3.90,0.224546,0.224546,0.078629,0.073697,0.072220,0.050000,0.00196350
ogive_cylinder,4.00,0.221147,0.221147,0.078519,0.071047,0.071582,0.050000,0.00196350
