Mach,component,componentClass,componentCategory,instanceCount,CD,pressureCD,frictionCD,baseCD,forebodyCD,CD_wing_ref,pressureCD_wing_ref,frictionCD_wing_ref,baseCD_wing_ref,forebodyCD_wing_ref,wettedArea_m2,planformArea_m2
1.200,Body Tube,BodyTube,symmetric_body,1,0.262501,0.000000,0.054307,0.208194,0.054307,0.029743,0.000000,0.006153,0.023590,0.006153,0.04319690,0.01375000
1.250,Ogive Nose,NoseCone,symmetric_body,1,0.123448,0.103500,0.019948,0.000000,0.123448,0.013988,0.011727,0.002260,0.000000,0.013988,0.01596781,0.00502759
1.250,Delta Wing,TrapezoidFinSet,finset,2,0.067649,0.043816,0.023832,0.000000,0.067649,0.007665,0.004965,0.002700,0.000000,0.007665,0.01948500,0.00974250
1.250,Body Tube,BodyTube,symmetric_body,1,0.242081,0.000000,0.053963,0.188118,0.053963,0.027430,0.000000,0.006114,0.021315,0.006114,0.04319690,0.01375000
1.300,Ogive Nose,NoseCone,symmetric_body,1,0.126826,0.107000,0.019826,0.000000,0.126826,0.014370,0.012124,0.002246,0.000000,0.014370,0.01596781,0.00502759
1.300,Delta Wing,TrapezoidFinSet,finset,2,0.068181,0.044494,0.023687,0.000000,0.068181,0.007725,0.005042,0.002684,0.000000,0.007725,0.01948500,0.00974250
1.300,Body Tube,BodyTube,symmetric_body,1,0.227593,0.000000,0.053634,0.173959,0.053634,0.025788,0.000000,0.006077,0.019711,0.006077,0.04319690,0.01375000
1.350,Ogive Nose,NoseCone,symmetric_body,1,0.130209,0.110500,0.019709,0.000000,0.130209,0.014754,0.012521,0.002233,0.000000,0.014754,0.01596781,0.00502759
1.350,Delta Wing,TrapezoidFinSet,finset,2,0.068661,0.045114,0.023547,0.000000,0.068661,0.007780,0.005112,0.002668,0.000000,0.007780,0.01948500,0.00974250
1.350,Body Tube,BodyTube,symmetric_body,1,0.219595,0.000000,0.053317,0.166277,0.053317,0.024882,0.000000,0.006041,0.018841,0.006041,0.04319690,0.01375000
1.400,Ogive Nose,NoseCone,symmetric_body,1,0.133596,0.114000,0.019596,0.000000,0.133596,0.015138,0.012917,0.002220,0.000000,0.015138,0.01596781,0.00502759
1.400,Delta Wing,TrapezoidFinSet,finset,2,0.069095,0.045682,0.023413,0.000000,0.069095,0.007829,0.005176,0.002653,0.000000,0.007829,0.01948500,0.00974250
1.400,Body Tube,BodyTube,symmetric_body,1,0.212913,0.000000,0.053013,0.159900,0.053013,0.024125,0.000000,0.006007,0.018118,0.006007,0.04319690,0.01375000
1.450,Ogive Nose,NoseCone,symmetric_body,1,0.134238,0.114750,0.019488,0.000000,0.134238,0.015210,0.013002,0.002208,0.000000,0.015210,0.01596781,0.00502759
1.450,Delta Wing,TrapezoidFinSet,finset,2,0.069486,0.046203,0.023283,0.000000,0.069486,0.007873,0.005235,0.002638,0.000000,0.007873,0.01948500,0.00974250
1.450,Body Tube,BodyTube,symmetric_body,1,0.207273,0.000000,0.052720,0.154552,0.052720,0.023486,0.000000,0.005974,0.017512,0.005974,0.04319690,0.01375000
1.500,Ogive Nose,NoseCone,symmetric_body,1,0.134884,0.115500,0.019384,0.000000,0.134884,0.015283,0.013087,0.002196,0.000000,0.015283,0.01596781,0.00502759
1.500,Delta Wing,TrapezoidFinSet,finset,2,0.069840,0.046681,0.023159,0.000000,0.069840,0.007913,0.005289,0.002624,0.000000,0.007913,0.01948500,0.00974250
1.500,Body Tube,BodyTube,symmetric_body,1,0.202461,0.000000,0.052438,0.150023,0.052438,0.022940,0.000000,0.005942,0.016999,0.005942,0.04319690,0.01375000
