surfaceMode,perfectFinish,Mach,Re,Re_transition,Re_over_Re_transition,CD_wing_ref,pressureCD_wing_ref,frictionCD_wing_ref,baseCD_wing_ref,forebodyCD_wing_ref
ordinary_finish_bracket,false,1.200,8735762.40,2817430.50,3.1006,0.055989,0.016212,0.010811,0.028966,0.027023
natural_transition,true,1.250,8732843.14,2802919.71,3.1156,0.055665,0.016692,0.011075,0.027898,0.027767
ordinary_finish_bracket,false,1.250,8732843.14,2802919.71,3.1156,0.055333,0.016692,0.010743,0.027898,0.027435
natural_transition,true,1.300,8709053.46,2787974.54,3.1238,0.054234,0.017165,0.011007,0.026061,0.028173
ordinary_finish_bracket,false,1.300,8709053.46,2787974.54,3.1238,0.053903,0.017165,0.010677,0.026061,0.027843
natural_transition,true,1.350,8666211.69,2772611.22,3.1256,0.052173,0.017632,0.010942,0.023599,0.028575
ordinary_finish_bracket,false,1.350,8666211.69,2772611.22,3.1256,0.051819,0.017632,0.010614,0.023573,0.028247
natural_transition,true,1.400,8606103.63,2756846.17,3.1217,0.049823,0.018093,0.010880,0.020850,0.028973
ordinary_finish_bracket,false,1.400,8606103.63,2756846.17,3.1217,0.049395,0.018093,0.010554,0.020748,0.028647
natural_transition,true,1.450,8530465.88,2740695.91,3.1125,0.047429,0.018237,0.010820,0.018372,0.029057
ordinary_finish_bracket,false,1.450,8530465.88,2740695.91,3.1125,0.046879,0.018237,0.010495,0.018146,0.028733
natural_transition,true,1.500,8440972.23,2724177.07,3.0985,0.046135,0.018376,0.010762,0.016996,0.029138
ordinary_finish_bracket,false,1.500,8440972.23,2724177.07,3.0985,0.045434,0.018376,0.010439,0.016619,0.028816
