mutation,rocket,cdx1,real_ft,rasaero_ft,baseline_orp_ft,mutated_orp_ft,baseline_err_pct,mutated_err_pct,delta_err_pp,delta_ft,baseline_mach,mutated_mach,baseline_terminal,mutated_terminal,notes
"no_k1_floor","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103602.294,-1.0097,-1.0097,0.0000,0.000,3.0355,3.0355,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_finned_base_aug","Byrum","Byrum.CDX1",5732,5281,6161.393,6242.076,7.4912,8.8987,1.4076,80.683,0.7474,0.7500,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6412.236,-2.3263,3.6237,5.9500,368.189,0.5561,0.5651,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4497.924,4.8738,13.4407,8.5669,339.678,0.5966,0.6077,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Gibb","Gibb.CDX1",3913,4205,3988.919,4278.011,1.9402,9.3282,7.3880,289.092,0.5460,0.5533,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7798.774,-3.7052,-2.8432,0.8620,69.190,0.7856,0.7877,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Raven","Raven.CDX1",8815,9332,9488.583,10646.140,7.6413,20.7730,13.1317,1157.557,1.0688,1.1026,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,4141.518,8.3739,15.7819,7.4080,264.984,0.5430,0.5501,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Blister","Blister.CDX1",9026,8301,8267.917,8681.002,-8.3989,-3.8223,4.5766,413.085,0.8307,0.8364,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Rabia","Rabia.CDX1",12745,12197,11913.186,12966.488,-6.5266,1.7378,8.2644,1053.301,1.1439,1.1733,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,10560.830,-6.3116,-0.2189,6.0927,644.854,0.8608,0.8766,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Torrent","Torrent.CDX1",12807,13717,12454.703,13717.412,-2.7508,7.1087,9.8595,1262.708,1.2190,1.2483,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3955.665,-1.8976,-0.2103,1.6874,66.887,0.6357,0.6387,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,4035.791,3.2118,5.1809,1.9691,75.554,0.6628,0.6665,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3957.576,4.8539,6.6732,1.8193,67.497,0.6379,0.6409,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4933.548,-6.0544,-2.9784,3.0760,156.412,0.8431,0.8538,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4913.959,-3.1987,-0.3254,2.8733,141.654,0.8076,0.8161,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,26742.709,-2.3914,7.9597,10.3511,2564.071,1.9848,2.0690,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,63634.245,-6.0506,12.4817,18.5322,10484.235,3.0363,3.1029,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Qu8k","Qu8k.CDX1",121478,119684,119186.866,131341.011,-1.8860,8.1192,10.0052,12154.144,3.4639,3.5249,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,99440.475,7.3724,16.8967,9.5242,8101.966,2.8664,2.9150,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,41509.589,-1.9076,9.2904,11.1980,4253.111,2.3058,2.3225,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,31155.573,-2.6614,3.7205,6.3819,1916.989,2.4649,2.4844,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,63395.731,8.7169,48.2213,39.5044,16896.422,2.1851,2.4212,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_finned_base_aug","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,107848.720,-1.0097,3.0477,4.0574,4246.426,3.0355,3.0691,"NORMAL","NORMAL","Finned-body base augmentation disabled"
"no_datcom_fin_wave_drag","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Raven","Raven.CDX1",8815,9332,9488.583,9493.604,7.6413,7.6983,0.0570,5.021,1.0688,1.0692,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,-0.0000,-0.000,0.8307,0.8307,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Rabia","Rabia.CDX1",12745,12197,11913.186,11922.566,-6.5266,-6.4530,0.0736,9.380,1.1439,1.1445,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,0.0000,0.000,0.8608,0.8608,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Torrent","Torrent.CDX1",12807,13717,12454.703,12482.447,-2.7508,-2.5342,0.2166,27.744,1.2190,1.2205,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24514.470,-2.3914,-1.0356,1.3557,335.831,1.9848,1.9989,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53960.669,-6.0506,-4.6176,1.4329,810.659,3.0363,3.0426,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Qu8k","Qu8k.CDX1",121478,119684,119186.866,120287.486,-1.8860,-0.9800,0.9060,1100.619,3.4639,3.4693,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,92974.908,7.3724,9.2961,1.9237,1636.400,2.8664,2.8768,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37402.117,-1.9076,-1.5241,0.3835,145.640,2.3058,2.3065,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,29320.553,-2.6614,-2.3885,0.2729,81.970,2.4649,2.4657,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,47142.150,8.7169,10.2199,1.5030,642.841,2.1851,2.1969,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
"no_datcom_fin_wave_drag","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,104871.967,-1.0097,0.2035,1.2132,1269.673,3.0355,3.0453,"NORMAL","NORMAL","DATCOM 4.1.5.1 fin wave drag disabled"
