geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
ogive_cylinder,2.70,0.582199,0.582199,0.075964,0.416720,0.089514,0.050000,0.00196350
ogive_cylinder,2.80,0.566115,0.566115,0.076729,0.401662,0.087724,0.050000,0.00196350
ogive_cylinder,2.90,0.550610,0.550610,0.077330,0.387164,0.086117,0.050000,0.00196350
ogive_cylinder,3.00,0.535683,0.535683,0.077797,0.373219,0.084667,0.050000,0.00196350
ogive_cylinder,3.10,0.521328,0.521328,0.078153,0.359820,0.083355,0.050000,0.00196350
ogive_cylinder,3.20,0.507535,0.507535,0.078415,0.346955,0.082164,0.050000,0.00196350
ogive_cylinder,3.30,0.494291,0.494291,0.078600,0.334612,0.081080,0.050000,0.00196350
ogive_cylinder,3.40,0.481583,0.481583,0.078718,0.322776,0.080090,0.050000,0.00196350
ogive_cylinder,3.50,0.469395,0.469395,0.078780,0.311430,0.079184,0.050000,0.00196350
ogive_cylinder,3.60,0.457708,0.457708,0.078796,0.300560,0.078352,0.050000,0.00196350
ogive_cylinder,3.70,0.446506,0.446506,0.078772,0.290147,0.077587,0.050000,0.00196350
ogive_cylinder,3.80,0.435770,0.435770,0.078714,0.280175,0.076881,0.050000,0.00196350
ogive_cylinder,3.90,0.425482,0.425482,0.078628,0.270625,0.076229,0.050000,0.00196350
ogive_cylinder,4.00,0.415621,0.415621,0.078515,0.261481,0.075625,0.050000,0.00196350
ogive_cylinder,4.10,0.406067,0.406067,0.078276,0.252726,0.075065,0.050000,0.00196350
ogive_cylinder,4.20,0.396719,0.396719,0.077833,0.244342,0.074544,0.050000,0.00196350
ogive_cylinder,4.30,0.387589,0.387589,0.077215,0.236314,0.074059,0.050000,0.00196350
ogive_cylinder,4.40,0.378689,0.378689,0.076456,0.228626,0.073607,0.050000,0.00196350
ogive_cylinder,4.50,0.370032,0.370032,0.075585,0.221262,0.073185,0.050000,0.00196350
