issue_id,point_id,mach,aoa,value,threshold,status,notes
G04,cd_m0.97_a2,0.97,2.0,0.880120,<2.0,pass,CD at M=0.97 AoA=2
G04,cn_m0.97_a2,0.97,2.0,7.731026,<50.0,pass,CN at M=0.97 AoA=2
G08,press_m0.97_a2,0.97,2.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m0.97_a5,0.97,5.0,0.930096,<2.0,pass,CD at M=0.97 AoA=5
G04,cn_m0.97_a5,0.97,5.0,7.809076,<50.0,pass,CN at M=0.97 AoA=5
G08,press_m0.97_a5,0.97,5.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m0.97_a10,0.97,10.0,1.111138,<2.0,pass,CD at M=0.97 AoA=10
G04,cn_m0.97_a10,0.97,10.0,7.933266,<50.0,pass,CN at M=0.97 AoA=10
G08,press_m0.97_a10,0.97,10.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m1.00_a0,1.00,0.0,0.962860,<2.0,pass,CD at M=1.00 AoA=0
G04,cn_m1.00_a0,1.00,0.0,7.957534,<50.0,pass,CN at M=1.00 AoA=0
G08,press_m1.00_a0,1.00,0.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.00_a2,1.00,2.0,0.972611,<2.0,pass,CD at M=1.00 AoA=2
G04,cn_m1.00_a2,1.00,2.0,8.004629,<50.0,pass,CN at M=1.00 AoA=2
G08,press_m1.00_a2,1.00,2.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.00_a5,1.00,5.0,1.024265,<2.0,pass,CD at M=1.00 AoA=5
G04,cn_m1.00_a5,1.00,5.0,8.073496,<50.0,pass,CN at M=1.00 AoA=5
G08,press_m1.00_a5,1.00,5.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.00_a10,1.00,10.0,1.210852,<2.0,pass,CD at M=1.00 AoA=10
G04,cn_m1.00_a10,1.00,10.0,8.182593,<50.0,pass,CN at M=1.00 AoA=10
G08,press_m1.00_a10,1.00,10.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.03_a0,1.03,0.0,1.002424,<2.0,pass,CD at M=1.03 AoA=0
G04,cn_m1.03_a0,1.03,0.0,9.010974,<50.0,pass,CN at M=1.03 AoA=0
G08,press_m1.03_a0,1.03,0.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.03_a2,1.03,2.0,1.013451,<2.0,pass,CD at M=1.03 AoA=2
G04,cn_m1.03_a2,1.03,2.0,9.051609,<50.0,pass,CN at M=1.03 AoA=2
G08,press_m1.03_a2,1.03,2.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.03_a5,1.03,5.0,1.071719,<2.0,pass,CD at M=1.03 AoA=5
G04,cn_m1.03_a5,1.03,5.0,9.110820,<50.0,pass,CN at M=1.03 AoA=5
G08,press_m1.03_a5,1.03,5.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.03_a10,1.03,10.0,1.281374,<2.0,pass,CD at M=1.03 AoA=10
G04,cn_m1.03_a10,1.03,10.0,9.204046,<50.0,pass,CN at M=1.03 AoA=10
G08,press_m1.03_a10,1.03,10.0,0.417159,<2.0,pass,Pressure CD at M=1.03
G04,cd_m1.05_a0,1.05,0.0,1.018135,<2.0,pass,CD at M=1.05 AoA=0
G04,cn_m1.05_a0,1.05,0.0,8.117531,<50.0,pass,CN at M=1.05 AoA=0
G08,press_m1.05_a0,1.05,0.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.05_a2,1.05,2.0,1.028068,<2.0,pass,CD at M=1.05 AoA=2
